Kata Baku,Kata Tidak Baku
mentang lagi duit ke buat bangun ada istilah sesat dia sesat karena mau di duit,bossnya ngemis kadrun ikn kadrun aliran hahahaha lha kadrunnya ga pinjemin
pak apakah belum cukup mau dari,bisnisnya diundur sampe cuan ikn
tunda lah itu kalau memang bapak pusing,dulu ikn
bank aja percaya dan apa lagi seluruh rakyat lebih cerdas dan cermat dari pada para ini,soft nggak ikn pemimpinnya negri inimereka pemimpin negri
mampus aja pak negara kalau sudah salah urus demi kelompok yang rakyat sendiri langgar sana sini selesai si dengan mitra bisnis di kalau presiden imbas dia kena rakyat,kepentingan gak menguntungkan nya ikn gak berjalan luhut bermasalah china pergantian nya pengadilan
ada,ikn udh direncanain dr sebelum covid
ekonomi sengsara itu bukan solusi,ditengah ikn
batal investasi halusinasi perang dan resmi kepala yang oligarki direktur hutan dan anak duit ke pisang miliar,softbank ikn ibukota setelah rusia ukraina penunjukan ikn rupanya titipan perusahaan perambah perusahaannya yg investcuci bocil
bukan bang dia di ada dengan perang kota kota tegal malam kemarin,tampaknya berkemah ikn hubungannya latihan tni ad didalam
hanya orang yang ikut tidak bagi rakyat kecil dan orang yang benci dan lebih cinta ibu kota,ikn dibanggakan bermain didalamnya pemborosan jakarta
dana untuk itu yang habis orang arab tapi ada apa kok ada yang,percepatan pencairan hutang ikn dicari luhut cs mengolok mengemis maksa hutang berkedok inpestor dicari
kurang atau kah strategi menteri dan ketika investor urung dana masuk raib alias abis dari,apkh meloby nya meyakinkan menguntungkan org yg menggagas ikn softbank terkait inves psti pinjaman sebelum softbank udah pinjaman china misalnya
kirim seperti kereta cepat bandung,rusia kykx pancer utk ratakan ikn jkt
kok nanti ini,feelingku mangkrak ikn
mau ama negara tidak mungkin di kasih jua jaha,ngutang kadrun opung ikn mangkrak
payah apa mungkin target kelar tapi dana dah habis,ikn blm keburu
sering banget kamu kalau senang pak sana keluar aja ada balas kamu kalau senang pak sana ke aja negara ya kita semua duh kardus,denger nda jokowi negeri takutnya nti yg nda anies ikn btw ntar dulu mmg ma ibukota warisan ortu ngontrak gitu kelakuan gegara gembokan
mungkin mereka tau pak dari proyek karena mereka tau rekam jejak pak,luhut bagian ikn luhut
amat cari buat proyek,ngotot utangan ikn terlalu memaksakan kehendak
dah ada orang asli jadi kepala atau percaya ke pak ya wong lagi,no comment dibilang kemaren kenape gak borneo yg diusulkan ikn wakilnya eh aje diserahkan joko udah jowo yg diangkat
hutan sawit hutan lagi demi,setelah merusak dgn skr mo membabat ikn
mah eco hutan di,jokowi ga friendly nyaa ek jadikeun ikn merusaaaakkk
rezim bikin gaduh isu soal kemarin gaduh periode minyak goreng sekarang ada lagi logo halal baru yang pasti akan pro kontra masyarakat banget bikin masalah nol solusi,sukanya ikn adzan disusul made in pemerintah menuai seneng
ke ini sangat hingga pindah aja ritual tuang ke kendi,naaah yg mantaap kalee berbudaya utk ikn pake aer
emang mau pindah lihat saja,bnr ikn ntar jg mangkrak
mau pindah ke mau,lha ikn kalimantan aj mrk yg brisik gk
suruh pinjam ke aja,utk biayai ikn mukidi pinjol
baik rakyat baik duit buat bangun baik dan baik itu,ngantri migor ngemis ngemis ikn segudang lainnya yg dibilang
kenapa getol banget ampe ke karena investor dah percaya sementara pribadi dengan kan dah di jelas siapa lahan mulai jidat dan celah masa dinasti,saudi ga keperluan ikn gamblangkan pemilik yg mengelilingi ikn hahaha saatnya mengernyitkan mencari perpanjangan
minus pindah ke baru kemah jelas buang duit ya partai kolonial,apbn maksa ikn ngaco ga woy
deh asal ke,gapapa ditunda ikn nya
kemah di tidak pulang lagi ke,ikn semoga pa jokowi jakarta
pasti kalau presiden baru proyek itu pasti di hal krusial di itu mah perut rakyat banyak harus di dahulu kan agar rakyat baik,yg ikn sdh batalkan lhaada yg lbh lg bandingkan bsa bekerja dng
itu brisan koar doang koar ama baliho doang ama anggap koar benci arab dana buat ke tanah arab koar pancasila jago korupsi ampe,lu brani opm sodara wkwk tp nyari ikn amp wkwk pling nyatanya bansos diembat wkwk
lah usah mau bikin mereka hengkang pasti sampai pada proyek realistis,udah ga nepsong ikn berdasarkan kajian yg mendalam menyeluruh yg kesimpulan tsb tdk
apa yang bakal di parlemen nanti ya jika investor tidak besar untuk mereka hanya proyek ambisius tanpa selain pindah ibu kota,korbanin amit-amit melihat ikn berpotensi melainkan dilihat tujuan
air bekas kaki ke,cucian seseorang gak sekalian dikirim ikn
lah auto kalo negara,ikn pemilu ditunda ngelanggar uud bener kejadian sdh diambang kehancuran
dan para harus,maunya china oligharki ikn yerus berlanjut
mahal sinyal gombal mahal sinyal gombal,mukidi hallu ikn inet inet ga mikirr
di kepala di terus gabung kembali tamat lah sinetron,gantikan ikn dgn yg persiapkan softbank
kereta cepat sadar,menuju ikn sdh goundreaking trus mangjrak woooiiii
malaikat buat bangun baru ye sama kalah gengsi padahal punya duit ujung minta sama wan di,jualan tp ngareup duitnye ikn kadrun gara pilkada aj sampe ngalahin pindahin ibukota lg gak nya bantuan bangsanya abud yg bakalan ngalahin jinjingan loe ntr insyaaallah
mundur yang lain segera juga batal revolusi,ikn ambyarrrrr softbank menyusul mungkinkah berkemahnya turunkan jokowi
mulai si dah selesai dan masih gantung lucu,kicep batak pcr ikn highspeed train
tanda tak jelas,ikn bakalan
tenang di kantong si ada ribu masih banyak kalau cuma bikin,muki trilliun lbh ikn
mereka tau akan akan ganti rezim bisa investor mundur semua lihat saja,ikn tdk berlanjut krn pemerintahan pemerintahan skr tdk dipercaya nti
saya ribu atas investasi di mudah investor lain segera karena jujur kami mau pindah ibu kota sekarang dan kami pun mau anak cucu kami,ucapkan beribu terimakasih pembatalan softbank ikn mudahan yg menyusul tdk tdk membebani hutang thd
tak nusantara nanti nusantara,mencerminkan katanya ikn dinamai
itu mau masa biar aman proyek di itu,sebabnya perpanjang jabatan mungkinkah ikn cuan
sinyal kuat kalau bisa batal,ikn
bacot kalo di pikir cebong si sama si cari cuman pasir gurun investasi di bong cebong di piara,loe nguap ngga dasarnya donggo junjungan loe tuh mukidi opung ngemis ngemis ngoprek ngorek nyariin kadrun ngemis ikn mikir drun kadrun ehh bloon koq
apa sih bikin serius,urgensinya ikn nanya
ini luar biasa heboh seperti batu seperti seperti dan lain alhasil saya seperti itu,ikn nya aqik suweg esemka nyenyet kawatir ikn
klenik,njirrr ikn
karena investor mundur investasi proyek,ikn peniiiing
takut proyek bakal dan mereka bakal dapat makanya periode tapi di kalo proyek bakal lanjut terus opsi lain bakal amandemen buat buat proyek bisa jalan,awalnya luhut dkk berhenti stop cuan ngusulin sampe nunda pemilu akhirnya sepakati uu nunda pemilu ato uu ikn tetep
tambah lagi bangun tambah lagi jorjoran tambah lagi harga pajak,ikn utang bpjs lu naikin
para gubernur hati ke ritual,kekayaan daerahnya kesedot ikn
situ bilang saya lah mana kata saya semua saya ya saya ente suka sono emang gue capek bang,maksa ikn eh yg maksa ikn comment dasr nya dr penilaian ga yo pikirin wkwkwk
itu kamu pung tanah batal bisnis mu tambang emas mu panik,yg kwatir kaplingan ikn terjual covid terungkap berhenti kayaknya opung terlihat
satu jari orang lain tetapi tidak jari lain diri sendiri mereka tidak mau bisnis,menunjuk menyadari yg menunjuk demikianlah yg ikn nya terganggu
modus dukung jatah lagu jurus modus,ikn kebagian nyap nyap lm pake ancem dilempar pulus osti lg muna coooy
karena mereka prediksi bakal seperti apa,pinter udah kebayang ikn
mundur dari proyek sangat bijak karena banyak masalah mungkin begitu skenario sang sutradara tinggal investor tunggal proyek kereta cepat lantas dana makin bengkak rakyat,softbank ikn anthony budiawan ikn mmg akhirnya tersisa sprt jakarta-padalarang mangkrak dikorbankan
bila pak ngeri akan lah bila konstitusi hanya dengan ia akan pada daftar negara yang sudah panjang itu,ikn mangkrak batalkan diubah alasan kengerian menjadi tambahan dagelan
profit ganti fokus lumayan banyak,urusan kcic dianggap sdh gak ikn cuan
belum jadi jangan ada lihat berani tunda isu tunda terus besok pasti ada,ikn nya pemilu dulu pengen ga pemerintah pemilu diangkat ajq blundee
kalo konstitusi buang duit malah cari mana,bercanda tuh urusan bilangnya percuma eh urusan ikn utang kemana wkwkwk
mahar buat jalan tidak itu tidak akan apa kamu,ikn sptinya jd mulusin ah terjadi ferguso yg pikirkan
wilayah itu,dibatasi ja nya se ikn selebihnya ttp nkri gimn gimn
presiden mana presiden malah,ngurus ikn
bangun pas selesai entar desain coba aja cek entar,ikn gunungannya berubah
maka satu jual aset negara andai aset dah dan dana masih kurang ujung dah seperti ini gagal aset habis jadi rusak lalu apa bisa cucu,klu dipaksakan slh pilihan utk pembiayaan kejual utk pembangunan nya mangkrak klu ikn terjual hutanpun yg disisakan utk ank
bilang mau garap,aje ikn
takut proyek selesai,ikn nya gak
satu pihak ambisi dan lain rakyat sengsara minyak goreng mereka para pada siapa minyak goreng aja ripuh,astgfirallah yg ikn penundaan pemilu disisi berebut sbtulnya penguasa memihak ngurus
kami proyek batal,pastikan ikn inshaallah wallahu
cebong liat musibah malah mau kemah di dan mau konvoi di,tuh antrian migor jd mukidi ikn jkrta rakytanya menderita
jalan mau di tunda enak benar negara punya nenek kan,ikn maunya trs pemilu nya seolah moyangnya anjeeng
nanti akan,ikn nya menghilang
kecebong bengkak bilang jadi kurang atau karena,yg dulu katanya gak pake apbn anggaran ikn dulu gak pake apbn awalnya an ant dgn apbn fair bobroknya junjungan lu ditelanjangi
tau sedang di dan akan sama cipta kerja ilegal cara hampir sama kek lain tau tau di ilegal hampir otak mentok di,softbank uu ikn digugat mk kemungkinan nasibnya dgn uu inskonstitusional bikinnye dikebut gak blh org prosesnya jd mk divonis dpr pemerintah mk miriss
yang punya ide mundur,sekalian ikn
rakyat siap keras demi dan ambisi khawatir minggat kita pakai,bekerja ikn penguasa jgn sofbank softek
pas alias ibu kota baru yang bikin satu rumah mewah saja perlu tahun baru kelar ini bikin ibu kota negara dengan situasi ekonomi sulit kecuali para cukong dan kaya raya mega proyek,situasinya tdk pembiayaan ikn seduatu dipaksakan bertahun semakin pejabat yg dg banyaknya
bank jepun mundur investasi di pen pindah,soft gak moo ikn maksa bnget
bisa periode nih mundur terus,mundr klo ikn
tambah enak aja aja mau cari dan proyek banget,ngomong nambah cuan ikn keliatan taek
itu proyek rezim boneka komunis dan pasti demi mereka bukan untuk bangsa ini bangun cuma buat aneksasi bangsa ini ke komunis jadi bila si bangsa,ikn mukidi sbg china proxy china keputusan kepentingan ngotot ikn memudahkan cengkeraman china pantaslah muki dicap sbg pengkhianat
rakyat butuh ekonomi butuh segera punya dan adil wa maula wa revolusi revolusi,membaik gak ikn semoga berganti pemimpin yg mengayomi rakyatnya hasbunallooh nimal wakiil nimal niman nasiir turunkan jokowi turunkan jokowi
tanah dan air patut tanah air simbolis di milik siapa itu hal yang perlu untuk pindah ibu kota,diduga secara persembahkan utk ikn ikn gak
,ambyar ikn
kepala dan wakil langsung japan memang pandai,setelah pengumuman otorita ikn softbank canceled investment hmmmmm
daripada kepala copot gagal periode otomatis baik bicara data,hehehehe kl ikn terhenti lbh sokan big big pig
ini kepala bin atau kepala habis bisa lebih seru lagi dengan indonesia atau dengan indonesia coba lebih lucu lagi,kejedot ga fantasinya misalnya ikn menaklukkan china ikn menguasai eropa ayolah
mundur proyek batal,softbank dr ikn hahahaa sokoriiiiin usd wkwkwk
fokus tolak,oeminfahan ikn
proyek cara rezim untuk belaka,ikn skrg menunda pemilumemperpanjang masaperiode kekuasaanjabatan
investor kan pasti cari untung investasi di buat investor apa sih,nahh namanya untungnya ikn
cukup waras untuk tau banyak masalah,menjadi seorang ikn
kampanye kami akan makanya sekarang heboh minta masa,anies stop ikn wkwk yg lgi perpanjangan jabatan
siapa mau sistem korup paru dunia ada aja,yg dibikin ikn
heboh mau bikin bangun aja masih sumpah goblok,bajingaaaaan dr yg kmrn sillicon valley ikn ngurusin ginian
alhamdulillah rakyat butuh tapi butuh murah dan,ga ikn sembako terjangkau
mau periode becus mana kartu,gegayaan pindak ikn lg ngurus migor engga sembako yg loe janjiin omdo khan
bagus rencana bangun baru cuma angan aja,semoga ikn jd
satu investor di mundur deh tau aja rakyat rezim masa rakyat ini perlu data otentik,ikn usd amsyong softbank keinginan indo ga mo pemilu ditunda ga mo skrg nambah jabatan keinginan ga pake big udh
jual ginjal sono buat bangun kurang tidur,iuran ikn kebanggaan bp ir drs joko lelur
seperti uang muka jalan tanpa punya dana,gerombolan andreas junaedy pdip sdh dpt bayaran sbg profokator ikn msh unfaedah
sadar mayoritas bukan atau bisa jadi masuk harus,ga ntr yg disana org kalimantan ikn pake pasport
dia ingin selesai dia ingin di bisa dengan baik padahal sudah tua dia masih harta segala cara,luhut berbohong memastikan ikn bisnisnya ikn berjalan mengumpulkan denga
mundur saja kami juga pusing tahu lagi susah,yaa sdh knp ikn diprioritaskan
dukung suruh donasi,yg ikn
manusia rakus konstitusi mau investasi dari cukong,penghianat ikn ny ad yg bnyk tekanan
nanti jadi,ngerik ikn ibukota kadrun neh
data dari siluman baru ingin hegemoni oligarki,pesanan kehendaknya yg ikn melalui
rakyat susah peduli aja,lg ga neh ikn ngotot terussss
ayo cabut di selain apalagi,inilah powernya medsos rame investasinya ikn softbank yah
daripada di di aja kan di,ikn mendingan jakarta
jadi pindah teh jadi buat jadi diskusi apa sih ngebet,ngutang ikn perpanjang ttg perpindahan ikn alasan sebenarnya mindahin ikn sampe gitu
jadi bos bos ada duit buat padahal itu konstitusi tapi kalo buat bangun penting penting banget mereka rela minta ke,gini cenul loe katanya gak pemilu ikn yg gak kadrun wkwkkw asuuuuu
minta gede terus baru ini ada bilang bagi jatah unsur korupsi di lokasi,jgn feenya bgt kpk kav ikn
efek domino yang semua calon investor ala mundur tanpa kompromi proyek ala gagal total karena ada lain yang lebih penting dan yang lebih untuk segera di indonesia,semoga terjadi menyebabkan ikn jokowi semoga ikn jokowi hal-hal mendesak diurus
kenapa aset aja sumbang buat bangun,ngk lord luhut dijual ikn
dan akan banyak lagi yang mundur dari mega suar yang masuk akal ini,menyusul project ikn ga
lagi tunggu pidato invasi mulai di indonesia fokus soal hajat hidup rakyat dapur aman wacana tiga periode dan masa cuma milik masih cari investor kan rakyat bagaimana,kenegaraan rusia terhadap ukraina terasa seyogianya perpanjangan jabatan politisi ikn urusan
kalau masa presiden rakyat ya bisa apa paling ya hanya bisa aja tinggal lihat saja nanti kocak buat justifikasi mulai dari mahal krisis ekonomi pandemi atau nanti kocak,mpr perpanjang jabatan nrimo alasan-alasan yg dipakai pemilu mengawal ikn apalah yg
kan punya kok buat bangun,katanya rb trilyun ngapain ngutang ikn
proyek ambisius,ikn yg abal abal
maka kita proyek apa mungkin di ada akan ada duit ke situ kecuali proyek apa,krn blm bs diskusikan yg uae investasikan ikn menurut gw ga profirable jd ga ngalir lu bs tunjukan
akan pihak lain,faktanya ngutang tergantung for ikn silahkan dibantah
itu bukan pesimis boneka bokek mau bangun,ngenyek oneng ngenyek halu ikn
garda bela,katanya dayak terdepan ikn halaaaaaah
taat pasti tau itu proyek di masa mau abis presiden baru visi baru lewat dan bisa mending mundur rawan makan para tikus,org konsitusi ikn kepentingan tertentu rez jabatan ruu keppres membatalkannya makannya softbank mikir dripda mangkrak berdasi
dana kampanye triliun tapi dana pindah,mikirin ngga mikirin ikn
narasi bikin gaduh lagi ini bisa kalo ada di,dipastikan gak bakalan ditindak bener kapling ikn
lah lahan bekas tambang lalu lahan kue proyek orang mereka akan raksasa dunia,proyeknya sj msih bnyak lobang terdengar issue bagi-bagi ikn eeeeh pejabatnya sdh dilantik ambius yg gk jlas planingnya klo jepang bodoh-bodoh gk jdi ekonomy
lebih rentan asing di,military wise ikn diserang pasukan dibanding jawa
sudah hampir pasti adalah tambah dan akan ada lagi biaya kereta cepat jadi tambah waktu hanya ambisi bisa kita tidak tambah waktu jangan bajak konstitusi,yg utang utk membiayai ikn diduga tambahan utk penyelesaian jkt-padalarang utk memastikan memindahkan ikn dilakukan setuju
takut di korup di korup,ntar danany bansos aj apalgi ikn
